1005 3015
844 213 57
408 91 97
922 556 21
575 36 25
55 925 76
826 364 62
865 387 15
331 146 8
986 55 89
42 228 57
874 801 50
152 144 36
467 168 25
672 280 25
829 66 78
425 204 42
703 743 45
928 381 54
614 638 14
430 352 39
786 924 4
877 236 47
14 2 67
349 865 15
846 610 60
241 39 25
289 275 68
132 88 25
742 748 25
974 713 92
587 313 72
26 866 33
222 849 40
803 947 44
901 22 57
901 39 67
822 317 57
551 84 72
596 793 27
937 243 97
416 943 80
678 68 76
787 162 33
279 171 5
757 233 100
764 457 62
116 998 98
104 808 97
251 84 15
707 26 63
325 340 35
209 441 71
13 548 9
606 706 53
172 987 85
62 348 68
244 199 77
305 779 53
551 108 45
712 865 53
594 621 96
4 2 16
567 586 85
311 917 35
98 131 60
388 65 93
978 725 2
598 210 16
258 146 16
814 724 28
280 834 13
984 240 96
723 797 55
667 242 97
775 707 52
799 37 6
727 619 58
554 395 1
414 72 2
39 349 24
215 25 64
573 115 88
633 212 94
383 514 24
926 973 40
719 221 31
63 426 44
461 369 68
147 197 35
313 7 88
52 34 72
56 297 30
164 35 3
261 475 56
429 563 16
696 606 14
976 94 1
561 269 69
1 25 82
479 966 16
244 145 48
964 6 46
245 218 63
514 358 2
445 3 42
321 994 66
897 752 60
935 383 51
876 550 19
173 401 61
889 260 74
972 448 82
235 323 1
637 383 20
963 200 57
692 372 40
443 267 50
621 306 100
396 918 60
815 101 84
98 557 87
823 428 31
409 398 65
977 114 42
993 563 39
13 530 80
132 104 55
506 839 39
844 285 49
369 313 88
50 376 6
255 17 48
630 670 33
555 886 21
261 416 50
850 296 26
314 437 38
658 616 9
881 307 76
643 600 56
46 68 21
39 534 2
293 163 89
365 278 21
236 99 21
64 151 46
545 280 13
576 496 22
5 318 45
474 399 24
816 659 5
421 208 32
160 687 54
883 143 69
728 274 73
535 52 44
805 311 100
739 672 79
3 1 82
406 700 48
473 184 67
871 313 40
507 804 96
986 802 99
1000 399 12
478 472 97
787 784 77
994 135 49
492 37 57
42 524 52
882 315 57
350 837 29
774 1 5
607 79 45
405 62 2
481 759 25
984 831 90
247 31 66
287 200 46
348 175 87
946 685 89
754 336 2
735 737 70
499 29 94
227 330 70
339 765 42
416 272 38
840 898 22
443 779 72
556 962 71
614 860 21
11 5 38
30 120 10
746 474 68
15 2 89
651 578 73
385 770 64
576 508 65
990 12 22
58 383 72
508 719 68
959 201 78
344 781 1
55 886 73
489 946 74
788 366 2
682 784 49
771 579 64
129 79 67
436 118 47
161 134 2
908 260 7
868 480 48
613 478 71
275 938 100
914 92 70
67 33 64
792 320 37
114 173 91
769 393 35
247 434 8
29 100 11
996 410 25
912 451 69
127 566 79
208 86 65
978 497 42
959 285 94
137 799 81
602 205 15
937 29 66
842 382 48
131 59 44
263 61 18
804 919 72
958 446 17
41 80 71
341 928 73
978 476 32
496 504 89
342 942 19
563 259 33
345 921 95
411 354 18
1 763 3
646 227 46
196 28 87
457 898 66
376 562 83
249 870 29
505 653 53
668 906 42
226 809 92
917 903 77
843 532 10
204 70 70
702 126 41
576 364 3
332 213 15
183 560 73
48 180 69
613 558 32
820 227 20
909 120 12
702 847 1
336 698 44
601 233 81
1002 70 71
368 241 16
588 552 64
56 18 11
718 313 86
276 634 97
233 508 5
164 809 3
49 365 51
17 674 51
919 614 42
902 507 69
36 19 85
171 764 70
87 140 21
9 621 26
790 467 61
522 172 49
835 271 87
448 482 82
583 256 89
252 249 42
763 14 49
955 772 13
238 445 10
91 14 80
635 971 84
776 445 74
95 40 81
362 277 27
885 890 54
172 347 51
457 866 94
348 413 17
120 230 62
512 603 79
654 499 65
788 829 18
928 452 34
318 430 16
936 71 20
739 578 75
497 983 36
64 375 56
508 53 44
655 863 56
782 537 33
931 4 57
482 411 4
246 928 72
889 999 38
689 570 44
444 17 13
326 89 86
157 526 56
784 654 74
719 1000 18
998 454 39
726 610 47
115 98 98
953 980 18
166 390 52
70 508 100
218 107 11
417 93 21
41 314 13
603 959 42
925 683 37
515 505 83
497 361 75
227 380 4
537 419 2
348 306 1
314 256 39
610 212 10
548 960 44
531 980 94
799 229 42
228 169 52
324 112 49
436 705 13
79 933 42
333 834 44
1001 749 77
326 277 27
306 1002 99
534 274 51
722 550 96
351 48 90
494 860 49
872 313 93
224 64 7
603 280 53
215 901 45
231 36 69
445 514 25
945 791 57
349 124 62
163 137 61
76 177 91
522 166 88
124 25 65
604 879 45
108 630 88
755 721 55
526 314 54
682 326 32
821 536 49
961 204 47
194 45 35
301 483 49
70 1000 60
352 379 76
463 382 93
211 320 88
210 49 3
557 68 43
695 223 90
841 661 50
948 770 32
403 334 91
511 992 43
67 418 90
16 287 43
785 176 39
686 96 59
878 943 67
990 944 47
942 744 20
688 375 79
794 544 38
191 852 8
642 898 95
991 849 82
731 88 95
648 348 50
162 308 87
763 80 78
357 272 50
318 878 33
273 480 13
315 145 98
394 302 44
792 166 88
19 9 42
694 1000 32
795 741 42
615 660 85
916 281 21
883 24 92
655 268 16
852 302 11
218 576 86
790 88 58
665 441 5
25 789 76
574 389 16
